gene._id,gene.bnumber,gene.name
RDBECOLIGNC03451,b1143,ymfI
RDBECOLIGNC03452,b1144,ymfJ
RDBECOLIGNC03453,b1145,ymfK
RDBECOLIGNC03454,b1146,ymfT
RDBECOLIGNC03455,b1147,ymfL
RDBECOLIGNC03456,b1148,ymfM
RDBECOLIGNC03457,b1149,ymfN
RDBECOLIGNC03458,b1150,ymfR
RDBECOLIGNC03459,b1151,beeE
RDBECOLIGNC03460,b1152,jayE
RDBECOLIGNC03461,b1153,ymfQ
RDBECOLIGNC02411,b1154,ycfK
RDBECOLIGNC03462,b1155,tfaP
RDBECOLIGNC01103,b1156,tfaE
RDBECOLIGNC03463,b1157,stfE
RDBECOLIGNC00727,b1158,pinE
RDBECOLIGNC00565,b1159,mcrA
RDBECOLIGNC03474,b1171,ymgD
RDBECOLIGNC03475,b1172,ymgG
RDBECOLIGNC00590,b1174,minE
RDBECOLIGNC00589,b1175,minD
RDBECOLIGNC00588,b1176,minC
RDBECOLIGNC03478,b1179,ycgL
RDBECOLIGNC03479,b1180,ycgM
RDBECOLIGNC03480,b1181,ycgN
RDBECOLIGNC01358,b1186,nhaB
RDBECOLIGNC03482,b1191,cvrA
RDBECOLIGNC03483,b1192,ldcA
RDBECOLIGNC03484,b1193,emtA
RDBECOLIGNC03486,b1195,ymgE
RDBECOLIGNC02261,b1219,ychN
RDBECOLIGNC03493,b1228,ychS
RDBECOLIGNC01748,b1232,purU
RDBECOLIGNC02017,b1233,ychJ
RDBECOLIGNC02018,b1234,rssA
RDBECOLIGNC01289,b1236,galU
RDBECOLIGNC00982,b1238,tdk
RDBECOLIGNC01555,b1249,clsA
RDBECOLIGNC01553,b1250,kch
RDBECOLIGNC01104,b1253,yciA
RDBECOLIGNC01105,b1254,yciB
RDBECOLIGNC01106,b1255,yciC
RDBECOLIGNC03496,b1266,rnm
RDBECOLIGNC03497,b1267,yciO
RDBECOLIGNC03498,b1268,yciQ
RDBECOLIGNC02283,b1269,rluB
RDBECOLIGNC00126,b1270,btuR
RDBECOLIGNC01693,b1271,yciK
RDBECOLIGNC00696,b1278,pgpB
RDBECOLIGNC03499,b1279,lapA
RDBECOLIGNC02351,b1280,lapB
RDBECOLIGNC00799,b1281,pyrF
RDBECOLIGNC01111,b1282,yciH
RDBECOLIGNC01566,b1286,rnb
RDBECOLIGNC03503,b1289,ycjD
RDBECOLIGNC02179,b1290,sapF
RDBECOLIGNC02178,b1291,sapD
RDBECOLIGNC02952,b1292,sapC
RDBECOLIGNC02953,b1293,sapB
RDBECOLIGNC02954,b1294,sapA
RDBECOLIGNC03520,b1320,ycjW
RDBECOLIGNC03526,b1328,pgrR
RDBECOLIGNC03528,b1330,ynaI
RDBECOLIGNC03529,b1331,insH4
RDBECOLIGNC03534,b1340,smrA
RDBECOLIGNC03536,b1342,zntB
RDBECOLIGNC00204,b1343,dbpA
RDBECOLIGNC03537,b1344,ttcA
RDBECOLIGNC03538,b1345,intR
RDBECOLIGNC03539,b1346,xisR
RDBECOLIGNC01827,b1347,rcbA
RDBECOLIGNC01826,b1348,ralR
RDBECOLIGNC01825,b1349,recT
RDBECOLIGNC00817,b1350,recE
RDBECOLIGNC00803,b1351,racC
RDBECOLIGNC02049,b1352,kilR
RDBECOLIGNC02048,b1353,sieB
RDBECOLIGNC03541,b1355,ydaG
RDBECOLIGNC03542,b1356,racR
RDBECOLIGNC01008,b1363,trkG
RDBECOLIGNC03551,b1366,ydaY
RDBECOLIGNC03553,b1368,ynaA
RDBECOLIGNC03555,b1370,insH5
RDBECOLIGNC03564,b1381,ydbH
RDBECOLIGNC03565,b1382,ynbE
RDBECOLIGNC03566,b1383,ydbL
RDBECOLIGNC03583,b1402,insD2
RDBECOLIGNC03584,b1403,insC2
RDBECOLIGNC03585,b1404,insI2
RDBECOLIGNC01279,b1406,pdxI
RDBECOLIGNC03590,b1412,azoR
RDBECOLIGNC03591,b1413,hrpA
RDBECOLIGNC00167,b1418,cybB
RDBECOLIGNC01197,b1419,ydcA
RDBECOLIGNC03594,b1423,ydcJ
RDBECOLIGNC02400,b1424,opgD
RDBECOLIGNC02403,b1426,ydcH
RDBECOLIGNC00843,b1427,rimL
RDBECOLIGNC03598,b1432,insQ
RDBECOLIGNC03601,b1435,rlhA
RDBECOLIGNC03602,b1436,yncJ
RDBECOLIGNC03605,b1439,ydcR
RDBECOLIGNC03614,b1448,mnaT
RDBECOLIGNC03620,b1454,yncG
RDBECOLIGNC03621,b1455,yncH
RDBECOLIGNC00008,b1456,rhsE
RDBECOLIGNC01694,b1457,ydcD
RDBECOLIGNC03622,b1459,yncI
RDBECOLIGNC01695,b1461,pptA
RDBECOLIGNC03623,b1462,yddH
RDBECOLIGNC03624,b1463,nhoA
